Map Page Number,SampleSite_ID,Latitude,Longitude
38,1322,52.05836603,-123.7144678
38,1355,52.06875636,-123.7870134
38,1356,52.06733143,-123.7139962
39,1164,52.02192139,-123.6871769
39,1165,52.02133166,-123.6580022
39,1166,52.02103402,-123.6434152
39,1167,52.02073454,-123.6288283
39,1170,52.01982501,-123.585069
39,1171,52.01951813,-123.570483
39,1204,52.03088696,-123.6867001
39,1205,52.02999941,-123.6429293
39,1207,52.02817444,-123.5553933
39,1245,52.03775523,-123.584073
39,1278,52.04881787,-123.6857458
39,1325,52.05748905,-123.6706688
39,1326,52.0550691,-123.5538804
39,1381,52.07571373,-123.6843128
39,1404,52.09334954,-123.6687451
39,1412,52.10111811,-123.6098075
39,1417,52.11038468,-123.6239306
39,1418,52.11008275,-123.6093139
39,1420,52.10947334,-123.580081
39,1427,52.11964945,-123.6380596
40,1173,52.01827217,-123.5121409
40,1209,52.02755133,-123.5262162
40,1210,52.02723701,-123.511628
40,1211,52.02563768,-123.4386902
40,1247,52.03588555,-123.4965239
40,1249,52.03460213,-123.4381621
40,1281,52.04579353,-123.5397903
40,1282,52.04548093,-123.5251958
40,1284,52.04485018,-123.4960076
40,1327,52.05475828,-123.5392827
40,1328,52.05349654,-123.4808943
40,1329,52.05285458,-123.4517014
40,1330,52.05253082,-123.4371052
40,1331,52.05220522,-123.4225093
40,1360,52.06372297,-123.538775
40,1361,52.06341024,-123.5241746
40,1362,52.06214085,-123.465775
40,1383,52.07142533,-123.4798546
40,1393,52.08102457,-123.5085463
40,1396,52.07909754,-123.4209133
